name,description,totalAmount,category,type,date
Netflix Subscription,Reality not recently south bad find.,235.41,Leisure and Entertainment,Expense,2025-01-11
Freelance Work,Security fill bag.,343.99,Academic,Expense,2025-03-31
Restaurant,Consider color senior only.,431.98,Food and Dining,Expense,2025-01-25
Restaurant,Do budget three simply.,148.97,Food and Dining,Expense,2025-02-25
Gym,Whether goal yeah level.,149.66,Leisure and Entertainment,Expense,2025-02-06
Electric Bill,Race garden spend whole fast.,370.01,Living,Expense,2025-01-03
Movie,Late physical glass during.,187.94,Leisure and Entertainment,Expense,2025-02-27
Movie,Hotel yourself very candidate interesting between.,105.34,Leisure and Entertainment,Expense,2025-02-16
Books,Training page carry.,96.39,Academic,Expense,2025-03-04
Grocery Refund,And within garden budget computer.,368.71,Food and Dining,Expense,2025-01-07
Netflix Subscription,Chair environmental yourself current.,298.16,Leisure and Entertainment,Expense,2025-03-12
Concert,Firm responsibility star bit collection.,469.28,Leisure and Entertainment,Expense,2025-03-24
Water Bill,Sound quite former likely avoid.,485.41,Living,Expense,2025-03-13
Freelance Work,Pass move from range.,324.72,Academic,Expense,2025-02-20
Ride Share,Maintain base southern news lead not.,137.41,Transportation,Expense,2025-02-25
Video Game,Political people friend inside.,121.28,Leisure and Entertainment,Income,2025-03-03
Restaurant,Mission reason suggest price.,235.21,Food and Dining,Expense,2025-03-15
Movie,Too understand air value parent.,1529.92,Leisure and Entertainment,Income,2025-02-04
Restaurant,Around only those.,389.64,Food and Dining,Expense,2025-01-14
Fast Food,Structure hotel soldier involve significant.,304.32,Food and Dining,Expense,2025-01-13
Grocery Refund,Issue sign with name compare.,113.42,Food and Dining,Expense,2025-02-25
Electric Bill,Discuss rock service true shoulder eight.,403.34,Living,Expense,2025-03-30
Coffee,Involve toward do work assume.,334.68,Living,Expense,2025-01-18
Train Ticket,About by imagine environmental.,148.46,Transportation,Expense,2025-01-05
Concert,Son month large half.,415.89,Leisure and Entertainment,Expense,2025-02-20
Cafeteria,Population parent national event effort break.,453.7,Food and Dining,Expense,2025-02-04
Cafeteria,Speak arrive price.,88.27,Food and Dining,Expense,2025-01-07
Concert,Need item finally.,2106.9,Leisure and Entertainment,Income,2025-03-28
Restaurant,Suddenly name tree agent make.,82.17,Food and Dining,Expense,2025-02-01
Cafeteria,Piece order recognize oil nature.,2491.1,Food and Dining,Income,2025-03-23
Netflix Subscription,Occur break itself behind.,429.2,Leisure and Entertainment,Expense,2025-01-05
Gas,High lawyer they detail prove.,199.77,Transportation,Expense,2025-02-23
Grocery Refund,Plan fund together.,52.81,Food and Dining,Expense,2025-03-05
Concert,Reflect ago imagine nice.,241.95,Leisure and Entertainment,Expense,2025-02-16
Grocery Refund,Stop girl brother beyond simply free.,478.7,Food and Dining,Expense,2025-03-07
Laundry,Main heart allow.,2810.43,Living,Income,2025-01-27
Rent,Many your well support.,344.2,Living,Expense,2025-03-01
Grocery Refund,Low turn without nor.,462.94,Food and Dining,Expense,2025-02-20
Bike Repair,Send fear positive actually manage.,76.22,Transportation,Expense,2025-02-13
Fast Food,Affect make across hope heavy she.,456.96,Food and Dining,Expense,2025-01-04
Ride Share,Member ago door.,180.42,Transportation,Expense,2025-03-08
Gas,Republican perform many as us brother.,133.12,Transportation,Expense,2025-02-18
Freelance Work,Easy government garden.,325.57,Academic,Expense,2025-02-11
Fast Food,School talk democratic.,390.69,Food and Dining,Expense,2025-02-12
Snacks,Season yet shake.,387.03,Food and Dining,Expense,2025-02-10
Bus Fare,Run spend page still street whatever.,433.43,Transportation,Expense,2025-02-13
Rent,Magazine where available.,2259.56,Living,Income,2025-01-06
Restaurant,Ability star book truth away truth.,2794.99,Food and Dining,Income,2025-03-03
Bike Repair,Wide each traditional leave little its.,410.84,Transportation,Expense,2025-02-27
Grocery Refund,Base perhaps hospital.,286.25,Food and Dining,Expense,2025-01-22
Fast Food,Opportunity site entire offer service.,384.33,Food and Dining,Expense,2025-03-15
Utilities,Stay drive and three.,326.48,Living,Expense,2025-03-20
Freelance Work,Character impact do energy able.,348.24,Academic,Expense,2025-01-04
Movie,Kind agency series task.,534.42,Leisure and Entertainment,Income,2025-02-23
Books,Product member cup note billion more.,1693.49,Academic,Income,2025-01-28
Groceries,Our conference these law stock decision.,316.36,Living,Income,2025-01-10
Water Bill,Chair resource thought recent need.,336.97,Living,Expense,2025-03-17
Bike Repair,Environmental stage wonder.,375.67,Transportation,Expense,2025-02-22
Tuition,Meeting analysis bed mother position.,359.23,Academic,Income,2025-02-27
Grocery Refund,In radio coach especially leave service.,71.5,Food and Dining,Expense,2025-01-27
Bus Fare,Total season prevent performance speak.,378.0,Transportation,Expense,2025-02-24
Ride Share,Support agent everyone education big.,486.67,Transportation,Expense,2025-01-08
Video Game,Lead soldier good reach.,498.19,Leisure and Entertainment,Income,2025-03-24
Snacks,Perform meet all grow field.,284.34,Food and Dining,Expense,2025-02-15
Concert,List stage after pass become administration.,232.13,Leisure and Entertainment,Expense,2025-01-19
Bus Fare,Identify hope top occur than.,840.47,Transportation,Income,2025-02-17
Electric Bill,Respond bar garden receive say.,315.61,Living,Expense,2025-02-21
Freelance Work,Central network cell as defense three.,25.73,Academic,Expense,2025-01-05
Fast Food,Tv mention past leg.,85.34,Food and Dining,Expense,2025-03-11
Bike Repair,Building east simply visit arrive.,368.27,Transportation,Expense,2025-03-09
Train Ticket,Positive make trade travel high happen.,996.15,Transportation,Income,2025-03-29
Rent,Conference send consumer than.,714.34,Living,Income,2025-03-11
Train Ticket,Right alone hold certainly try scientist.,136.34,Transportation,Expense,2025-02-09
Gas,Final mean production.,340.24,Transportation,Expense,2025-01-07
Tuition,Page sometimes smile section.,382.67,Academic,Expense,2025-01-20
Gym,Force opportunity carry your.,3.79,Leisure and Entertainment,Expense,2025-03-21
Freelance Work,Form about wonder analysis.,2098.04,Academic,Income,2025-01-08
Bike Repair,Watch news under on.,980.48,Transportation,Income,2025-01-10
Video Game,Watch management prevent including.,141.62,Leisure and Entertainment,Expense,2025-02-27
Gym,Just magazine white actually main.,165.09,Leisure and Entertainment,Expense,2025-02-02
Laundry,Tax road she manager.,356.66,Living,Expense,2025-01-30
Concert,Surface child remain.,191.98,Leisure and Entertainment,Expense,2025-02-11
Fast Food,Family life chance local war.,223.1,Food and Dining,Expense,2025-03-08
Train Ticket,Himself people spring eat as begin.,450.92,Transportation,Expense,2025-02-19
Bus Fare,Town bill base discussion also.,199.58,Transportation,Expense,2025-01-09
Netflix Subscription,Meet official entire.,293.99,Leisure and Entertainment,Expense,2025-02-03
Freelance Work,Vote mother amount ability message.,91.98,Academic,Expense,2025-03-30
Freelance Work,Ready seem likely night boy.,51.2,Academic,Expense,2025-01-13
Video Game,Policy tax against.,472.52,Leisure and Entertainment,Expense,2025-03-01
Snacks,Door catch general.,369.18,Food and Dining,Expense,2025-01-20
Concert,Executive generation such information experience situation church.,2544.98,Leisure and Entertainment,Income,2025-03-18
Laundry,Save relate city modern everybody.,392.86,Living,Expense,2025-02-27
Snacks,Human above yard outside sure woman.,2497.3,Food and Dining,Income,2025-01-08
Bike Repair,Catch anyone certainly area.,481.94,Transportation,Expense,2025-01-17
Netflix Subscription,Garden might article drive artist.,316.14,Leisure and Entertainment,Expense,2025-03-06
Restaurant,Mean vote Mr.,463.02,Food and Dining,Expense,2025-03-19
Online Course,Drop side indicate field recent size.,59.28,Academic,Expense,2025-01-02
Gas,Yet cultural player.,396.49,Transportation,Expense,2025-01-28
Laundry,Allow happen business many remember drop.,120.1,Living,Expense,2025-02-21
Ride Share,Purpose as fine maintain.,288.47,Transportation,Expense,2025-02-18
Tuition,According such treatment.,59.76,Academic,Expense,2025-02-14
Electric Bill,Stock whole century particular.,447.0,Living,Expense,2025-03-17
Fast Food,Choice else woman.,133.72,Food and Dining,Expense,2025-01-16
Fast Food,Church serious push.,304.73,Food and Dining,Expense,2025-03-26
Bike Repair,Law charge few though performance race.,167.3,Transportation,Expense,2025-01-11
Ride Share,Evening compare now reason.,124.3,Transportation,Expense,2025-03-21
Gas,Book sell make discover but.,1978.12,Transportation,Income,2025-03-21
Cafeteria,Himself side hot.,24.16,Food and Dining,Expense,2025-02-07
Bike Repair,Before never lose stay.,405.17,Transportation,Expense,2025-03-08
Groceries,President safe beat operation rich.,173.14,Living,Expense,2025-03-15
Gym,Often behind heavy pass.,378.27,Leisure and Entertainment,Expense,2025-02-15
Bike Repair,Themselves economy something.,166.72,Transportation,Expense,2025-02-10
Books,Rule set though heavy can.,294.09,Academic,Expense,2025-02-13
Grocery Refund,Event shoulder role.,423.46,Food and Dining,Expense,2025-02-01
Video Game,South discover cup between officer suddenly.,436.31,Leisure and Entertainment,Expense,2025-02-05
Laundry,Along in some practice shoulder.,138.03,Living,Expense,2025-01-10
Gym,Computer magazine leg officer finish.,1254.25,Leisure and Entertainment,Income,2025-02-17
Electric Bill,Environment just candidate baby guy.,135.73,Living,Expense,2025-02-21
Water Bill,Ten meeting guess.,481.32,Living,Expense,2025-03-31
Freelance Work,Manager past such manager effect material.,265.37,Academic,Expense,2025-01-23
Electric Bill,Drive source much they bill.,74.24,Living,Expense,2025-01-22
Scholarship,Resource pressure exist.,142.22,Academic,Expense,2025-01-28
Fast Food,Imagine employee threat.,1103.86,Food and Dining,Income,2025-03-24
Bus Fare,There various politics.,847.09,Transportation,Income,2025-02-26
Cafeteria,Front watch first must already.,6.93,Food and Dining,Expense,2025-03-07
Restaurant,Yeah economy now read kitchen.,261.91,Food and Dining,Expense,2025-01-21
Video Game,Hear growth strategy.,324.53,Leisure and Entertainment,Expense,2025-02-05
Electric Bill,Alone pass painting.,336.03,Living,Expense,2025-02-14
Utilities,New like stay one firm.,223.63,Living,Expense,2025-03-14
Tuition,Time magazine individual rich.,357.72,Academic,Expense,2025-03-03
Online Course,Maintain lead might.,197.11,Academic,Expense,2025-01-28
Scholarship,Relate tax power guy maybe know.,227.47,Academic,Expense,2025-01-08
Cafeteria,Out near help often movement.,316.93,Food and Dining,Expense,2025-03-30
Grocery Refund,Item everything accept crime.,207.52,Food and Dining,Expense,2025-03-23
Coffee,Suffer research suddenly.,141.97,Living,Expense,2025-03-26
Freelance Work,However wall put true.,1297.06,Academic,Income,2025-02-06
Utilities,Method past voice bar better.,224.63,Living,Expense,2025-01-14
Groceries,Music leg than establish finish.,509.26,Living,Income,2025-03-16
Laundry,Behind power store hit.,200.16,Living,Expense,2025-01-07
Snacks,Voice body media project reduce consider.,453.01,Food and Dining,Expense,2025-03-23
Train Ticket,View performance but black plan market.,456.67,Transportation,Expense,2025-02-11
Video Game,Wind machine cell eat able.,420.23,Leisure and Entertainment,Expense,2025-03-17
Gym,Myself involve fish day.,226.89,Leisure and Entertainment,Expense,2025-02-04
Books,Tell minute set image research.,4.34,Academic,Expense,2025-02-22
Movie,Free soon actually appear.,258.6,Leisure and Entertainment,Expense,2025-02-27
Restaurant,Bank risk population.,354.9,Food and Dining,Expense,2025-02-14
Grocery Refund,Choose recognize along small probably.,453.74,Food and Dining,Expense,2025-02-24
Gas,Rich find important hot to car.,426.74,Transportation,Expense,2025-02-16
Bike Repair,Example approach pressure dark might.,448.52,Transportation,Expense,2025-03-07
Bus Fare,Might cover performance occur small easy.,473.05,Transportation,Expense,2025-01-05
Groceries,Prove about chance poor.,141.17,Living,Expense,2025-01-21
Bus Fare,Score state these already model.,336.12,Transportation,Expense,2025-02-06
Concert,Long yourself movement must.,271.8,Leisure and Entertainment,Expense,2025-01-03
Books,Firm rich finally data hope.,46.32,Academic,Expense,2025-02-16
Rent,One notice entire without.,1748.2,Living,Income,2025-03-17
Concert,However somebody particular.,340.4,Leisure and Entertainment,Expense,2025-01-17
Scholarship,Kitchen actually clear authority.,68.24,Academic,Expense,2025-02-24
Bus Fare,Dream base beat.,75.66,Transportation,Expense,2025-02-05
Online Course,Daughter eat discover face.,523.85,Academic,Income,2025-01-28
Freelance Work,Few myself plant.,376.53,Academic,Expense,2025-01-19
Gym,Five my debate.,297.56,Leisure and Entertainment,Expense,2025-02-23
Bus Fare,Dinner garden happy respond so.,139.98,Transportation,Expense,2025-02-18
Gas,Direction rest find performance.,705.18,Transportation,Income,2025-02-13
Snacks,Change cell yard.,92.79,Food and Dining,Expense,2025-03-27
Tuition,Month prove truth clearly.,235.28,Academic,Expense,2025-02-24
Books,Conference image dog direction.,297.53,Academic,Expense,2025-02-02
Video Game,Need all respond five rock.,342.48,Leisure and Entertainment,Expense,2025-03-03
Books,Western offer represent contain.,7.25,Academic,Expense,2025-01-08
Groceries,Common drop bed since interview.,124.41,Living,Expense,2025-01-15
Fast Food,Happen everyone guy spend.,203.72,Food and Dining,Expense,2025-02-25
Gas,Market also whose against suffer.,172.29,Transportation,Expense,2025-01-12
Freelance Work,Region stop subject American yeah.,29.54,Academic,Expense,2025-01-30
Gym,Put resource low rock good.,6.0,Leisure and Entertainment,Expense,2025-02-04
Ride Share,When manager discover audience simply.,213.23,Transportation,Expense,2025-03-24
Restaurant,Season themselves company.,9.16,Food and Dining,Expense,2025-01-29
Freelance Work,Long minute then exactly voice.,139.59,Academic,Expense,2025-03-11
Netflix Subscription,Often character teacher century.,1061.07,Leisure and Entertainment,Income,2025-02-01
Gym,Quality spend not.,1191.57,Leisure and Entertainment,Income,2025-01-18
Ride Share,Lose family herself compare act become.,103.29,Transportation,Expense,2025-01-24
Ride Share,Image free what pressure.,488.93,Transportation,Expense,2025-02-26
Bike Repair,Once program hard rock conference number.,538.26,Transportation,Income,2025-01-26
Groceries,Dark something very.,138.87,Living,Expense,2025-03-19
Gas,Local Mrs again.,471.53,Transportation,Expense,2025-01-07
Movie,Manage avoid those lead thousand.,418.79,Leisure and Entertainment,Expense,2025-01-31
Tuition,Two boy give high entire.,99.38,Academic,Expense,2025-01-15
Electric Bill,Show pass artist letter perhaps.,242.86,Living,Expense,2025-02-13
Fast Food,Necessary available oil.,275.49,Food and Dining,Expense,2025-01-06
Movie,Once with great.,463.2,Leisure and Entertainment,Expense,2025-03-15
Bus Fare,By change bag.,347.51,Transportation,Expense,2025-03-20
Cafeteria,Senior only sort.,305.77,Food and Dining,Expense,2025-03-06
Video Game,Performance head attorney lawyer social.,377.06,Leisure and Entertainment,Expense,2025-03-27
Train Ticket,Suffer respond director.,90.45,Transportation,Expense,2025-03-16
Concert,Power color glass Republican.,167.84,Leisure and Entertainment,Expense,2025-03-14
Rent,Father within resource bring seek rather.,2525.88,Living,Income,2025-02-06
Online Course,Color explain model window.,478.62,Academic,Expense,2025-01-18
Movie,Day choose language staff.,1489.37,Leisure and Entertainment,Income,2025-01-08
Bike Repair,Contain meeting respond others.,93.29,Transportation,Expense,2025-02-02
Cafeteria,Financial board season.,398.38,Food and Dining,Expense,2025-01-04
Video Game,Line outside local reflect car.,32.54,Leisure and Entertainment,Expense,2025-03-23
Electric Bill,Himself green sort yourself stuff parent.,465.88,Living,Expense,2025-01-12
Electric Bill,Rather stage night describe why.,246.76,Living,Expense,2025-01-07
Fast Food,Floor environment remain high use.,236.86,Food and Dining,Expense,2025-02-02
Ride Share,Focus under half especially.,192.7,Transportation,Expense,2025-02-22
Groceries,Listen course stand.,87.11,Living,Expense,2025-02-05
Gas,Over rise relate really lose alone.,209.46,Transportation,Expense,2025-02-15
Ride Share,Trouble response eye.,220.43,Transportation,Expense,2025-03-26
Concert,Development edge soldier.,463.22,Leisure and Entertainment,Expense,2025-02-06
Grocery Refund,Decide ask very.,310.7,Food and Dining,Expense,2025-02-28
Online Course,Through like skin.,256.33,Academic,Expense,2025-02-20
Video Game,Figure population short report between.,351.04,Leisure and Entertainment,Expense,2025-02-02
Netflix Subscription,Say man improve benefit.,381.66,Leisure and Entertainment,Expense,2025-01-31
Concert,Agent cold clear.,1662.16,Leisure and Entertainment,Income,2025-02-10
Tuition,Raise account sort rich.,320.81,Academic,Expense,2025-03-31
Gym,Most dark his explain subject.,364.43,Leisure and Entertainment,Expense,2025-01-21
Water Bill,Design property suffer open community last.,485.85,Living,Expense,2025-03-02
Online Course,Movement letter boy.,1613.29,Academic,Income,2025-02-14
Bike Repair,Race want item want nearly tax.,57.87,Transportation,Expense,2025-03-24
Scholarship,Bill push how recognize.,274.2,Academic,Expense,2025-01-16
Freelance Work,Program may mother our across increase.,283.29,Academic,Expense,2025-01-11
Fast Food,Down order under future.,146.96,Food and Dining,Expense,2025-03-06
Bike Repair,Concern live increase.,289.51,Transportation,Expense,2025-02-03
Ride Share,Art garden former.,909.42,Transportation,Income,2025-01-20
Restaurant,Try perhaps maintain pattern.,87.1,Food and Dining,Expense,2025-02-10
Netflix Subscription,Glass enter break bank approach.,147.48,Leisure and Entertainment,Expense,2025-03-11
Netflix Subscription,Compare treatment major.,48.89,Leisure and Entertainment,Expense,2025-03-10
Water Bill,Notice call matter heart would system.,259.02,Living,Expense,2025-03-24
Video Game,War these here.,253.1,Leisure and Entertainment,Expense,2025-03-25
Train Ticket,Cell audience seven threat long road.,1862.37,Transportation,Income,2025-03-01
Groceries,Who behavior people.,314.66,Living,Expense,2025-03-25
Video Game,Night model end imagine produce.,107.62,Leisure and Entertainment,Expense,2025-02-27
Scholarship,Type knowledge drug morning their traditional.,774.96,Academic,Income,2025-02-21
Bus Fare,Third culture radio south home.,484.16,Transportation,Expense,2025-01-30
Fast Food,Around American window.,428.83,Food and Dining,Expense,2025-03-23
Utilities,Point have significant.,1897.52,Living,Income,2025-02-02
Gas,We sure hard.,2834.09,Transportation,Income,2025-01-11
Freelance Work,Back dinner whose yourself.,334.13,Academic,Expense,2025-03-03
Grocery Refund,Both bad skill issue pay life.,79.84,Food and Dining,Expense,2025-02-22
Bike Repair,One choice far.,338.15,Transportation,Expense,2025-02-07
Tuition,Father my particularly nature.,106.64,Academic,Expense,2025-02-21
Ride Share,Field outside memory.,208.86,Transportation,Expense,2025-02-14
Netflix Subscription,Manage administration skin job.,236.52,Leisure and Entertainment,Expense,2025-01-12
Bike Repair,Section study about investment.,93.88,Transportation,Expense,2025-02-06
Fast Food,Several positive education husband bag.,297.6,Food and Dining,Expense,2025-03-17
Tuition,Condition step mean.,139.35,Academic,Expense,2025-02-17
Laundry,Election hotel pattern.,334.16,Living,Expense,2025-02-26
Video Game,Mind commercial something cost institution.,4.39,Leisure and Entertainment,Expense,2025-02-02
Netflix Subscription,Road close stay body decide.,137.39,Leisure and Entertainment,Expense,2025-01-01
Bus Fare,Threat him statement how race ahead.,107.13,Transportation,Expense,2025-01-26
Gas,Middle structure wide authority.,371.08,Transportation,Expense,2025-01-13
Laundry,Democrat contain trouble exist reduce.,105.89,Living,Expense,2025-01-19
Coffee,School official election though.,2212.11,Living,Income,2025-02-20
Cafeteria,Before standard believe.,337.98,Food and Dining,Expense,2025-02-17
Laundry,Cause forward office.,260.76,Living,Expense,2025-02-13
Train Ticket,Couple technology exist them always.,33.43,Transportation,Expense,2025-03-02
Tuition,Resource family cause office.,107.81,Academic,Expense,2025-03-21
Scholarship,Inside east go successful physical.,2474.18,Academic,Income,2025-01-28
Movie,Off culture so find.,429.94,Leisure and Entertainment,Expense,2025-03-20
Coffee,Shake idea artist arrive I man.,38.43,Living,Expense,2025-03-14
Concert,Mouth treatment throughout.,117.14,Leisure and Entertainment,Expense,2025-02-01
Gas,Break like one sure yeah forward.,269.72,Transportation,Expense,2025-01-09
Utilities,Several what teacher hand.,255.65,Living,Expense,2025-01-17
Gas,Store enough could feel send think.,447.58,Transportation,Expense,2025-02-19
Water Bill,Agency increase sense.,464.59,Living,Expense,2025-01-08
Restaurant,Only positive which consider listen avoid.,453.54,Food and Dining,Expense,2025-02-22
Coffee,Kid small different former factor model.,471.86,Living,Expense,2025-02-23
Gym,Lay dinner sister us suddenly.,1964.37,Leisure and Entertainment,Income,2025-01-23
Online Course,Pattern people nature consumer.,435.79,Academic,Expense,2025-03-06
Gym,Financial get everything these help.,11.35,Leisure and Entertainment,Expense,2025-02-26
Gym,Just though rest not.,83.39,Leisure and Entertainment,Expense,2025-02-03
Grocery Refund,Call station technology fall growth.,390.69,Food and Dining,Expense,2025-01-22
Tuition,Into than staff everyone.,266.86,Academic,Expense,2025-01-07
Tuition,Need official prepare well true.,385.66,Academic,Expense,2025-01-23
Online Course,Nearly try reason.,192.44,Academic,Expense,2025-03-05
Ride Share,Truth marriage simply woman.,313.61,Transportation,Expense,2025-03-07
Snacks,Dinner number decide enough list leg.,361.23,Food and Dining,Expense,2025-03-19
Tuition,Lawyer mention structure fight.,461.9,Academic,Expense,2025-02-25
Electric Bill,Visit culture eat between.,97.72,Living,Expense,2025-02-26
Fast Food,Left to economy history bit computer.,1162.84,Food and Dining,Income,2025-02-26
Netflix Subscription,Finally daughter no table realize.,305.5,Leisure and Entertainment,Expense,2025-01-27
Netflix Subscription,Bill mention east.,1049.08,Leisure and Entertainment,Income,2025-01-07
Laundry,Assume exist local late left.,44.19,Living,Expense,2025-01-03
Video Game,Goal act could organization week.,253.7,Leisure and Entertainment,Expense,2025-03-21
Bus Fare,Law commercial many miss traditional.,153.4,Transportation,Expense,2025-02-25
Fast Food,Establish plant scientist.,386.1,Food and Dining,Expense,2025-03-28
Scholarship,Maybe film activity game senior.,484.57,Academic,Expense,2025-02-01
Gas,Claim today example himself.,714.45,Transportation,Income,2025-01-07
Bike Repair,Push turn sing across important.,303.94,Transportation,Expense,2025-03-16
Train Ticket,Reality note new dark.,906.18,Transportation,Income,2025-02-15
Restaurant,Citizen him must sound wait listen.,298.61,Food and Dining,Expense,2025-03-03
Books,High guy all popular.,436.95,Academic,Expense,2025-03-30
Restaurant,Radio medical relationship.,191.97,Food and Dining,Expense,2025-03-09
Coffee,Dark behavior assume.,940.26,Living,Income,2025-01-27
Concert,Huge remain ball available nature.,429.17,Leisure and Entertainment,Expense,2025-03-29
Groceries,Share none final send resource.,242.18,Living,Expense,2025-02-20
Bus Fare,Like friend weight.,2606.86,Transportation,Income,2025-01-27
Books,Hour skill understand citizen senior environment.,166.79,Academic,Expense,2025-03-13
Gym,Appear yourself reason air itself.,21.41,Leisure and Entertainment,Expense,2025-01-29
Cafeteria,Technology property process.,401.22,Food and Dining,Expense,2025-03-23
Coffee,Mrs degree seek commercial police law.,499.34,Living,Expense,2025-03-14
Bike Repair,Also manager approach especially prove.,410.3,Transportation,Expense,2025-02-23
Gas,Under production should fight interview.,423.29,Transportation,Expense,2025-02-17
Tuition,Might significant improve bed similar.,391.88,Academic,Expense,2025-02-26
Laundry,Scientist various picture.,31.28,Living,Expense,2025-03-14
Train Ticket,Beat bar second mention simply.,118.3,Transportation,Expense,2025-02-09
Gym,Few record thing.,477.27,Leisure and Entertainment,Expense,2025-03-06
Utilities,Management situation agreement.,391.77,Living,Expense,2025-02-17
Netflix Subscription,Success field church TV suddenly.,463.61,Leisure and Entertainment,Expense,2025-01-18
