name,date,category,description,totalAmount,type
Transaction 1,2025-04-20,Food and Dining,Auto-generated transaction 1,43.1,Expense
Transaction 2,2025-04-20,Living,Auto-generated transaction 2,22.61,Expense
Transaction 3,2025-04-20,Leisure and Entertainment,Auto-generated transaction 3,15.59,Expense
Transaction 4,2025-04-20,Academic,Auto-generated transaction 4,73.69,Expense
Transaction 1,2025-04-21,Transportation,Auto-generated transaction 1,134.03,Expense
Transaction 2,2025-04-21,Transportation,Auto-generated transaction 2,241.16,Expense
Transaction 1,2025-04-22,Food and Dining,Auto-generated transaction 1,30.48,Expense
Transaction 2,2025-04-22,Academic,Auto-generated transaction 2,31.77,Expense
Transaction 3,2025-04-22,Academic,Auto-generated transaction 3,40.73,Expense
Transaction 4,2025-04-22,Food and Dining,Auto-generated transaction 4,50.7,Expense
Transaction 1,2025-04-23,Transportation,Auto-generated transaction 1,48.62,Expense
Transaction 2,2025-04-23,Transportation,Auto-generated transaction 2,30.92,Expense
Transaction 3,2025-04-23,Leisure and Entertainment,Auto-generated transaction 3,104.82,Expense
Transaction 4,2025-04-23,Leisure and Entertainment,Auto-generated transaction 4,29.88,Expense
Transaction 5,2025-04-23,Leisure and Entertainment,Auto-generated transaction 5,87.62,Expense
Transaction 1,2025-04-24,Transportation,Auto-generated transaction 1,95.86,Expense
Transaction 2,2025-04-24,Academic,Auto-generated transaction 2,68.23,Expense
Transaction 3,2025-04-24,Leisure and Entertainment,Auto-generated transaction 3,39.43,Expense
Transaction 1,2025-04-25,Food and Dining,Auto-generated transaction 1,53.18,Expense
Transaction 2,2025-04-25,Academic,Auto-generated transaction 2,38.81,Expense
Transaction 3,2025-04-25,Transportation,Auto-generated transaction 3,40.04,Expense
Transaction 4,2025-04-25,Living,Auto-generated transaction 4,51.64,Expense
Transaction 1,2025-04-26,Academic,Auto-generated transaction 1,18.97,Expense
Transaction 2,2025-04-26,Transportation,Auto-generated transaction 2,65.11,Expense
Transaction 3,2025-04-26,Leisure and Entertainment,Auto-generated transaction 3,69.13,Expense
Transaction 4,2025-04-26,Leisure and Entertainment,Auto-generated transaction 4,63.49,Expense
Transaction 1,2025-04-27,Leisure and Entertainment,Auto-generated transaction 1,401.1,Expense
Transaction 2,2025-04-27,Living,Auto-generated transaction 2,96.92,Expense
Transaction 3,2025-04-27,Living,Auto-generated transaction 3,401.57,Expense
Transaction 1,2025-04-28,Food and Dining,Auto-generated transaction 1,45.78,Expense
Transaction 2,2025-04-28,Leisure and Entertainment,Auto-generated transaction 2,53.12,Expense
Transaction 3,2025-04-28,Food and Dining,Auto-generated transaction 3,150.37,Expense
Transaction 4,2025-04-28,Academic,Auto-generated transaction 4,117.13,Expense
Transaction 5,2025-04-28,Leisure and Entertainment,Auto-generated transaction 5,40.71,Expense
Transaction 1,2025-04-29,Leisure and Entertainment,Auto-generated transaction 1,949.08,Expense
Transaction 2,2025-04-29,Food and Dining,Auto-generated transaction 2,1105.47,Expense
Transaction 1,2025-04-30,Transportation,Auto-generated transaction 1,70.45,Expense
Transaction 2,2025-04-30,Transportation,Auto-generated transaction 2,36.62,Expense
Transaction 3,2025-04-30,Living,Auto-generated transaction 3,98.17,Expense
Transaction 4,2025-04-30,Living,Auto-generated transaction 4,74.17,Expense
