name,description,totalAmount,category,type,date
Tricycle Fare,Daily commute,14.91,Transportation,Expense,2025-04-24
Book,Academic supplies or materials,354.56,Academic,Expense,2025-04-24
Daily Food,Meal and drink,144.63,Food and Dining,Expense,2025-04-25
Jeep Fare,Daily commute,23.92,Transportation,Expense,2025-04-25
Bus Fare,Daily commute,23.59,Transportation,Expense,2025-04-25
Daily Food,Meal and drink,131.08,Food and Dining,Expense,2025-04-26
Jeep Fare,Daily commute,26.73,Transportation,Expense,2025-04-26
Jeep Fare,Daily commute,16.68,Transportation,Expense,2025-04-26
Bus Fare,Daily commute,16.27,Transportation,Expense,2025-04-27
Daily Food,Meal and drink,170.39,Food and Dining,Expense,2025-04-28
Ride Share,Daily commute,24.1,Transportation,Expense,2025-04-28
Bus Fare,Daily commute,11.64,Transportation,Expense,2025-04-28
Monthly Allowance,Allowance from parents,10000.0,Leisure and Entertainment,Income,2025-04-28
Monthly Rent,Boarding house rent,2500.0,Living,Expense,2025-04-28
Daily Food,Meal and drink,189.81,Food and Dining,Expense,2025-04-29
Bus Fare,Daily commute,21.57,Transportation,Expense,2025-04-29
Bus Fare,Daily commute,27.77,Transportation,Expense,2025-04-29
Electricity Bill,Monthly electric bill,396.48,Living,Expense,2025-04-29
Daily Food,Meal and drink,115.83,Food and Dining,Expense,2025-04-30
Bus Fare,Daily commute,11.7,Transportation,Expense,2025-04-30
Jeep Fare,Daily commute,21.49,Transportation,Expense,2025-04-30
WiFi Bill,Internet service fee,350.0,Living,Expense,2025-04-30
Daily Food,Meal and drink,135.66,Food and Dining,Expense,2025-05-01
