Age_Group,Sex,Year_Level,In_relationship,Personality,Home_Region,Living_Situation,Dorm_Area,Roommates,Degree_Program,In_Organization,Hours_of_Study_per_Week,Monthly_Allowance,Family_Monthly_Income,Have_Scholarship,Have_Job,Meal_Preferences,Frequency_of_Going_Home,Have_Health_Concern,Preferred_Payment_Method,Living_Expenses,Food_and_Dining_Expenses,Transportation_Expenses,Leisure_and_Entertainment_Expenses,Academic_Expenses
18-20,Male,Freshman,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kaliwa,I live with 2-3 roommates,Doctor of Veterinary Medicine,Yes,Less then 10 hours,8000,"P24,061 - P48,120",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,No,Online Payment ,1000,4000,1000,500,500
21-23,Male,Junior,No,Introvert,Metro Manila,Inside campus,Kaliwa,I live alone,BS Agribusiness Management and Entrepreneurship,Yes,21-30 hours,11700,"P24,061 - P48,120",Yes,No,A combination of the above,Rarely,Yes,Cash,10000,300,600,500,300
21-23,Female,Senior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with 2-3 roommates,BS Nutrition,Yes,10-20 hours,6000,"Less than P12,030",No,No,A combination of the above,Rarely,No,Cash,1100,3000,300,500,1000
21-23,Male,Senior,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Demarces,I live with 2-3 roommates,BS Economics,Yes,21-30 hours,8800,"P48,121 - P84,210",Yes,Yes,A combination of the above,Often,No,Cash,4200,3000,500,800,300
18-20,Female,Junior,Yes,Ambivert,Metro Manila,Outside Campus,Agapita,I live alone,Doctor of Veterinary Medicine,No,21-30 hours,"13,500","P48,121 - P84,210",No,No,A combination of the above,Often,No,Combination of the three,5250,250,244,3750,1500
18-20,Female,Sophomore,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kaliwa,I live alone,BS Food Science and Technology,No,31-40 hours,8000,"Less than P12,030",Yes,Yes,A combination of the above,Often,No,Cash,3500,2500,500,500,1000
21-23,Male,Senior,No,Introvert,Metro Manila,Inside campus,UP Dorm,I live with more than 3 roommates,BS Mathematics,Yes,10-20 hours,"7,000","Less than P12,030",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Sometimes,No,Cash,1000,4500,500,900,100
21-23,Male,Sophomore,No,Introvert,Mindanao,Outside Campus,Kanan,I live with 2-3 roommates,BS Mechanical Engineering,Yes,More then 40 hours,10000,"P144,361 - P240,600",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Sometimes,No,Online Payment ,5000,2500,500,1000,1000
21-23,Female,Sophomore,No,Introvert,Metro Manila,Inside campus,Kanan,I live with 2-3 roommates,BS Industrial Engineering,Yes,31-40 hours,15090,"P144,361 - P240,600",No,Yes,A combination of the above,Often,Yes,Online Payment ,6000,7000,890,1000,200
21-23,Male,Senior,No,Ambivert,Metro Manila,Outside Campus,Demarces,I live with 2-3 roommates,BA Communication Arts,Yes,21-30 hours,13250,"P48,121 - P84,210",No,No,A combination of the above,Sometimes,No,Cash,7250,4500,500,500,500
24-26,Female,Senior,Yes,Introvert,Central Luzon,Outside Campus,Agapita,I live with 1 roommate,BS Biology,Yes,Less then 10 hours,13500,"P24,061 - P48,120",No,Yes,A combination of the above,Rarely,Yes,Combination of the three,3000,8000,1000,1000,500
21-23,Female,Senior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Raymundo,I live alone,BA Philosophy,Yes,Less then 10 hours,22000,"P24,061 - P48,120",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,No,Combination of the three,8500,9000,2000,2000,500
21-23,Male,Senior,No,Extrovert,Metro Manila,Outside Campus,Raymundo,I live with 1 roommate,BS Applied Mathematics,Yes,21-30 hours,10000,"P48,121 - P84,210",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Sometimes,Yes,Combination of the three,3000,5000,1000,1000,0
24-26,Female,Senior,No,Introvert,Central Luzon,Inside campus,Kaliwa,I live with more than 3 roommates,BS Agriculture,Yes,21-30 hours,10950,"P48,121 - P84,210",No,No,A combination of the above,Sometimes,No,Cash,3500,6000,450,500,500
18-20,Female,Freshman,No,Introvert,Central Luzon,Inside campus,Kanan,I live with 1 roommate,BS Economics,Yes,More then 40 hours,25120,"P48,121 - P84,210",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Sometimes,No,Cash,15150,7500,470,1500,500
21-23,Male,Junior,No,Ambivert,Metro Manila,With family,Umali,With family,BS Statistics,Yes,21-30 hours,6200,"P24,061 - P48,120",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,No,Combination of the three,0,5500,200,500,0
Under 18,Male,Freshman,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kaliwa,I live alone,BS Mathematics,Yes,10-20 hours,15000,"P48,121 - P84,210",Yes,No,A combination of the above,Always,No,Cash,9800,4000,200,500,500
21-23,Female,Senior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Raymundo,I live with more than 3 roommates,BS Applied Mathematics,No,10-20 hours,7350,"P48,121 - P84,210",No,Yes,A combination of the above,Sometimes,Yes,Combination of the three,5000,1600,500,200,50
21-23,Female,Junior,Yes,Ambivert,Central Luzon,Outside Campus,Lopez Ave,I live with 2-3 roommates,Doctor of Veterinary Medicine,Yes,10-20 hours,"15,500","P48,121 - P84,210",No,No,A combination of the above,Rarely,No,Combination of the three,5000,8000,1000,1000,500
18-20,Female,Sophomore,No,Introvert,Central Luzon,Inside campus,UP Dorm,I live with 2-3 roommates,BS Agricultural and Applied Economics,Yes,21-30 hours,8000,"P12,031 - P24,060",Yes,No,A combination of the above,Rarely,Yes,Cash,2000,5000,200,200,200
21-23,Male,Senior,No,Extrovert,Southern Luzon (Southern Tagalog & Bicol),With family,Umali,With family,BS Industrial Engineering,Yes,21-30 hours,13500,"P48,121 - P84,210",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Combination of the three,0,6000,1364,3000,1000
21-23,Female,Senior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kanan,I live alone,BS Economics,Yes,10-20 hours,15000,"P24,061 - P48,120",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,No,Combination of the three,7000,4000,2000,1500,500
21-23,Male,Junior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,UP Dorm,I live with 2-3 roommates,BS Statistics,Yes,10-20 hours,8550,"P48,121 - P84,210",Yes,No,A combination of the above,Often,No,Online Payment ,4600,2550,500,500,200
21-23,Female,Senior,No,Extrovert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with 2-3 roommates,BS Computer Science,Yes,10-20 hours,4000,"P84,211 - P144,360",No,No,A combination of the above,Always,Yes,Cash,1000,700,300,300,0
18-20,Female,Sophomore,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),With family,Bae,With family,BS Human Ecology,Yes,31-40 hours,"13,000","P12,031 - P24,060",No,No,A combination of the above,Always,No,Cash,0,10000,1000,2000,0
21-23,Female,Senior,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Junction,I live with more than 3 roommates,BS Civil Engineering,Yes,21-30 hours,8000,"P12,031 - P24,060",Yes,No,A combination of the above,Rarely,No,Combination of the three,2500,4000,500,500,500
21-23,Male,Junior,No,Introvert,Metro Manila,Inside campus,Kanan,I live alone,BS Agriculture,Yes,10-20 hours,12300,"P12,031 - P24,060",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Often,No,Cash,4000,6000,300,1000,1000
21-23,Female,Senior,No,Ambivert,Central Luzon,Outside Campus,Junction,I live with more than 3 roommates,BS Civil Engineering,Yes,31-40 hours,15000,"P84,211 - P144,360",No,No,A combination of the above,Rarely,Yes,Online Payment ,3750,6500,500,500,500
18-20,Female,Freshman,Yes,Ambivert,Central Luzon,Outside Campus,Lopez Ave,I live with more than 3 roommates,BS Nutrition,Yes,More then 40 hours,"14,000","P12,031 - P24,060",Yes,No,A combination of the above,Always,No,Online Payment ,3000,8000,2000,0,1000
21-23,Female,Senior,No,Extrovert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Lopez Ave,I live with more than 3 roommates,BA Communication Arts,Yes,21-30 hours,12000,"P48,121 - P84,210",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Often,No,Combination of the three,3000,7500,500,500,500
18-20,Female,Junior,No,Ambivert,Metro Manila,With family,Junction ,With family,BA Communication Arts,Yes,10-20 hours,12700,"More than P240,601",No,No,A combination of the above,Often,Yes,Cash,0,10000,2000,500,200
18-20,Female,Freshman,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Umali,I live with 2-3 roommates,BS Chemical Engineering,Yes,10-20 hours,8000,"P24,061 - P48,120",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,Yes,Combination of the three,2500,3000,300,1000,500
21-23,Male,Junior,No,Ambivert,Central Luzon,Outside Campus,Junction,I live alone,BS Civil Engineering,Yes,10-20 hours,17300,"P144,361 - P240,600",Yes,Yes,I cook my meals,Sometimes,No,Cash,10000,5000,600,1500,200
18-20,Male,Freshman,No,Introvert,Central Luzon,Outside Campus,Agapita,I live with 2-3 roommates,BS Chemical Engineering,Yes,21-30 hours,8000,"P84,211 - P144,360",Yes,No,A combination of the above,Always,No,Cash,6000,1000,500,200,300
18-20,Female,Freshman,Yes,Introvert,Central Luzon,Inside campus,UP Dorm,I live with 2-3 roommates,BS Agricultural and Biosystems Engineering,No,10-20 hours,8500,"P12,031 - P24,060",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,No,Combination of the three,2000,3500,500,1500,1000
21-23,Male,Junior,No,Ambivert,Metro Manila,Outside Campus,Agapita,I live with more than 3 roommates,BS Forestry,Yes,More then 40 hours,6000,"P48,121 - P84,210",No,No,I cook my meals,Often,No,Combination of the three,2700,500,500,0,0
21-23,Male,Senior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kaliwa,I live with 1 roommate,BS Food Science and Technology,Yes,10-20 hours,6500,"P12,031 - P24,060",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,2500,750,210,300,200
21-23,Female,Senior,Yes,Introvert,Metro Manila,Outside Campus,Lopez Ave,I live alone,BS Applied Mathematics,Yes,10-20 hours,7000,"P24,061 - P48,120",Yes,No,A combination of the above,Often,No,Cash,2800,2800,500,300,100
24-26,Male,Senior,No,Ambivert,Central Luzon,Outside Campus,Umali,I live with 1 roommate,BS Chemical Engineering,Yes,10-20 hours,25000,"P84,211 - P144,360",No,No,A combination of the above,Rarely,No,Combination of the three,5000,11000,1500,7000,500
21-23,Female,Junior,Yes,Introvert,Metro Manila,Outside Campus,Agapita,I live with more than 3 roommates,BS Food Science and Technology,Yes,31-40 hours,7300,"P12,031 - P24,060",Yes,Yes,"I eat out regularly (carideria, fastfoods, etc.)",Often,Yes,Cash,2700,3000,1200,200,200
21-23,Male,Senior,Yes,Ambivert,Northern Luzon (Ilocos & Cagayan Valley),Outside Campus,Agapita,I live with more than 3 roommates,BS Civil Engineering,Yes,10-20 hours,14500,"P84,211 - P144,360",No,No,A combination of the above,Rarely,Yes,Cash,2500,5000,500,1500,5000
21-23,Female,Senior,Yes,Introvert,Northern Luzon (Ilocos & Cagayan Valley),Inside campus,Kanan,I live with more than 3 roommates,BS Mathematics and Science Teaching,Yes,More then 40 hours,10300,"P24,061 - P48,120",Yes,Yes,A combination of the above,Rarely,No,Online Payment ,3000,4500,500,2000,300
21-23,Female,Junior,No,Introvert,Central Luzon,Outside Campus,Agapita,I live with 2-3 roommates,BS Agriculture,Yes,31-40 hours,"21,308","P144,361 - P240,600",Yes,No,A combination of the above,Rarely,Yes,Combination of the three,8000,9000,1308,2000,1000
18-20,Male,Sophomore,No,Ambivert,Metro Manila,Outside Campus,Raymundo,I live with 2-3 roommates,BS Nutrition,Yes,21-30 hours,25000,"More than P240,601",No,No,A combination of the above,Always,No,Combination of the three,10000,5000,1000,7000,2000
21-23,Male,Sophomore,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Agapita,I live with 1 roommate,BS Agricultural Biotechnology,Yes,21-30 hours,15000,"Less than P12,030",No,Yes,A combination of the above,Sometimes,Yes,Cash,5000,7000,500,1000,1500
21-23,Female,Senior,No,Ambivert,Central Luzon,Inside campus,Kaliwa,I live with 2-3 roommates,BS Applied Mathematics,Yes,31-40 hours,9750,"P12,031 - P24,060",Yes,No,A combination of the above,Often,No,Combination of the three,4000,4500,450,500,300
18-20,Male,Junior,No,Extrovert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with 2-3 roommates,BS Applied Mathematics,Yes,21-30 hours,5000,"P24,061 - P48,120",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,1000,1000,200,500,500
18-20,Female,Freshman,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Umali,I live with 2-3 roommates,Doctor of Veterinary Medicine,Yes,10-20 hours,9450,"P84,211 - P144,360",No,No,A combination of the above,Always,No,Cash,4500,3500,700,500,250
18-20,Male,Sophomore,Yes,Introvert,Metro Manila,Outside Campus,Junction,I live with 1 roommate,BS Applied Physics,Yes,31-40 hours,6000,"P12,031 - P24,060",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,No,Cash,3000,100,400,300,100
21-23,Female,Senior,No,Ambivert,Central Luzon,Outside Campus,Lopez Ave,I live alone,BS Agriculture,Yes,21-30 hours,10000,"P12,031 - P24,060",Yes,No,A combination of the above,Rarely,No,Combination of the three,3000,4000,1000,1000,1000
21-23,Male,Senior,No,Extrovert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kanan,I live with 2-3 roommates,BS Computer Science,Yes,More then 40 hours,7000,"P12,031 - P24,060",Yes,No,I cook my meals,Often,No,Online Payment ,3000,3000,400,0,0
18-20,Male,Freshman,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,UP Dorm,I live with 2-3 roommates,BS Agriculture,Yes,10-20 hours,8500,"P24,061 - P48,120",Yes,No,I cook my meals,Always,No,Cash,1100,6000,800,200,300
18-20,Female,Junior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Agapita,I live with 2-3 roommates,BS Biology,Yes,More then 40 hours,13000,"More than P240,601",Yes,Yes,A combination of the above,Always,No,Cash,3000,6500,1000,1000,500
18-20,Female,Freshman,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Lopez Ave,I live with 1 roommate,BS Statistics,Yes,10-20 hours,7500,"P24,061 - P48,120",Yes,No,A combination of the above,Often,No,Cash,3000,2000,1600,600,300
18-20,Female,Sophomore,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),With family,Others,With family,BS Human Ecology,Yes,10-20 hours,6500,"P84,211 - P144,360",No,No,A combination of the above,Always,No,Cash,0,3000,2000,1000,500
18-20,Male,Freshman,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),With family,Junction,With family,BS Biology,Yes,21-30 hours,6000,"Less than P12,030",Yes,Yes,A combination of the above,Always,No,Cash,0,4500,440,0,200
21-23,Male,Senior,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Raymundo,With family,BS Agricultural and Biosystems Engineering,No,10-20 hours,5500,"P24,061 - P48,120",Yes,Yes,A combination of the above,Often,Yes,Online Payment ,2800,1500,400,200,600
18-20,Male,Freshman,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Raymundo,With family,BS Agribusiness Management and Entrepreneurship,Yes,21-30 hours,8600,"P48,121 - P84,210",Yes,No,A combination of the above,Always,No,Combination of the three,3500,3000,600,1000,500
21-23,Male,Senior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),With family,Others,With family,BS Food Science and Technology,Yes,Less then 10 hours,4000,"P84,211 - P144,360",No,No,A combination of the above,Always,No,Combination of the three,0,250,200,250,500
21-23,Male,Junior,No,Ambivert,Central Luzon,Outside Campus,Raymundo,With family,BS Mathematics and Science Teaching,Yes,10-20 hours,11500,"Less than P12,030",Yes,No,A combination of the above,Rarely,No,Combination of the three,4700,5000,600,1000,200
21-23,Male,Senior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Raymundo,With family,BS Computer Science,Yes,10-20 hours,12100,"Less than P12,030",Yes,No,A combination of the above,Sometimes,No,Cash,8500,2500,0,1000,100
21-23,Female,Junior,No,Ambivert,Metro Manila,Outside Campus,Mayondon,I live with 2-3 roommates,BS Computer Science,Yes,31-40 hours,47100,"P144,361 - P240,600",No,No,A combination of the above,Often,No,Online Payment ,20000,20000,5000,2000,100
21-23,Female,Senior,No,Ambivert,Northern Luzon (Ilocos & Cagayan Valley),Outside Campus,Others,I live with 2-3 roommates,BS Nutrition,Yes,Less then 10 hours,30000,"P84,211 - P144,360",Yes,No,A combination of the above,Rarely,No,Combination of the three,6600,12000,2000,5000,3000
18-20,Female,Freshman,No,Introvert,Metro Manila,Outside Campus,Mayondon,I live with 2-3 roommates,BA Communication Arts,Yes,More then 40 hours,47100,"P84,211 - P144,360",No,No,A combination of the above,Rarely,No,Cash,20000,20000,5000,2000,100
21-23,Female,Senior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),With family,Anos,With family,BS Statistics,Yes,21-30 hours,7500,"Less than P12,030",Yes,No,A combination of the above,Sometimes,No,Combination of the three,0,2000,1000,1000,1000
21-23,Female,Senior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Agapita,With family,BS Statistics,Yes,31-40 hours,6800,"P24,061 - P48,120",No,No,A combination of the above,Sometimes,Yes,Combination of the three,2300,2000,1000,1000,500
18-20,Male,Freshman,No,Extrovert,Metro Manila,Outside Campus,Raymundo,With family,BS Applied Mathematics,Yes,21-30 hours,15000,"P48,121 - P84,210",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Often,No,Cash,4600,8000,1000,0,1000
21-23,Male,Senior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),With family,Umali,With family,BA Communication Arts,Yes,Less then 10 hours,3000,"P144,361 - P240,600",No,No,A combination of the above,Always,No,Cash,0,1500,0,1000,0
21-23,Female,Senior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kanan,With family,BS Mathematics and Science Teaching,Yes,Less then 10 hours,7500,"P24,061 - P48,120",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,No,Online Payment ,3500,2000,300,500,500
18-20,Male,Freshman,No,Ambivert,Central Luzon,Outside Campus,Kaliwa,With family,BS Agribusiness Management and Entrepreneurship,No,More then 40 hours,8000,"P12,031 - P24,060",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,3000,2000,1500,1000,500
21-23,Male,Junior,Yes,Extrovert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Agapita,With family,BS Agricultural Biotechnology,Yes,21-30 hours,11500,"P12,031 - P24,060",Yes,No,A combination of the above,Always,No,Combination of the three,4000,4000,1000,1000,1500
18-20,Female,Freshman,No,Ambivert,Central Luzon,Outside Campus,Lopez Ave,I live with 2-3 roommates,BS Materials Engineering,No,31-40 hours,5900,"P12,031 - P24,060",Yes,No,A combination of the above,Rarely,No,Cash,3100,1800,100,100,800
18-20,Female,Sophomore,No,Ambivert,Central Luzon,Inside campus,UP Dorm,I live with 2-3 roommates,BS Electrical Engineering,Yes,10-20 hours,5500,"P12,031 - P24,060",Yes,No,A combination of the above,Often,Yes,Combination of the three,800,3000,1500,100,100
18-20,Male,Junior,No,Introvert,Metro Manila,Inside campus,UP Dorm,I live with more than 3 roommates,BS Industrial Engineering,Yes,31-40 hours,"8,000","P48,121 - P84,210",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,1000,600,400,100,500
18-20,Male,Junior,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kaliwa,I live with more than 3 roommates,BS Computer Science,Yes,Less then 10 hours,11700,"Less than P12,030",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Often,No,Combination of the three,4200,6000,500,500,500
21-23,Female,Junior,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Umali,I live alone,BS Mathematics and Science Teaching,Yes,21-30 hours,14000,"P48,121 - P84,210",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Often,Yes,Combination of the three,3700,4000,1000,500,200
18-20,Male,Freshman,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Junction,I live with 1 roommate,BS Civil Engineering,Yes,10-20 hours,6000,"P24,061 - P48,120",Yes,No,I cook my meals,Often,No,Combination of the three,1000,1000,300,500,500
21-23,Male,Senior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kanan,I live with 1 roommate,BS Agribusiness Management and Entrepreneurship,Yes,10-20 hours,10000,"P48,121 - P84,210",Yes,No,A combination of the above,Sometimes,No,Cash,2500,6000,500,500,500
21-23,Female,Senior,No,Introvert,Central Luzon,Inside campus,UP Dorm,I live with 2-3 roommates,BS Agriculture,Yes,31-40 hours,7500,"P48,121 - P84,210",No,No,A combination of the above,Sometimes,No,Cash,2500,4000,1000,0,0
18-20,Female,Junior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),With family,Others,With family,BS Development Communication,Yes,10-20 hours,"14,800","Less than P12,030",Yes,No,I cook my meals,Always,Yes,Cash,0,6500,1800,3000,3500
18-20,Male,Sophomore,No,Ambivert,Metro Manila,Outside Campus,Junction,With family,BS Computer Science,Yes,21-30 hours,5100,"P12,031 - P24,060",Yes,No,I buy pre-packaged food,Rarely,No,Cash,3000,1000,500,500,100
18-20,Female,Sophomore,No,Introvert,Northern Luzon (Ilocos & Cagayan Valley),Inside campus,UP Dorm,With family,BS Chemical Engineering,Yes,More then 40 hours,12000,"P48,121 - P84,210",Yes,No,A combination of the above,Rarely,Yes,Cash,1249,7262,489,500,2500
21-23,Male,Senior,No,Ambivert,Central Luzon,Inside campus,UP Dorm,With family,BS Civil Engineering,No,21-30 hours,5700,"P12,031 - P24,060",Yes,No,A combination of the above,Rarely,No,Cash,1200,3000,500,500,500
18-20,Female,Sophomore,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Lopez Ave,With family,BS Electrical Engineering,Yes,10-20 hours,14000,"P48,121 - P84,210",Yes,Yes,A combination of the above,Always,Yes,Cash,7000,3000,2000,1000,1000
